tournament_year,player_name,player_name_en,position,season,club,league,country,club_lat,club_lng,appearances
2022,酒井宏樹,Hiroki Sakai,DF,2021,Olympique de Marseille,Ligue 1,France,43.2697,5.3958,38
2022,酒井宏樹,Hiroki Sakai,DF,2021,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,18
2022,酒井宏樹,Hiroki Sakai,DF,2022,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,28
2022,吉田麻也,Maya Yoshida,DF,2019,Southampton F.C.,Premier League,England,50.9058,-1.3911,20
2022,吉田麻也,Maya Yoshida,DF,2020,Southampton F.C.,Premier League,England,50.9058,-1.3911,11
2022,吉田麻也,Maya Yoshida,DF,2020,U.C. Sampdoria,Serie A,Italy,44.4164,8.9525,14
2022,吉田麻也,Maya Yoshida,DF,2021,U.C. Sampdoria,Serie A,Italy,44.4164,8.9525,34
2022,吉田麻也,Maya Yoshida,DF,2022,U.C. Sampdoria,Serie A,Italy,44.4164,8.9525,26
2022,吉田麻也,Maya Yoshida,DF,2023,FC Schalke 04,Bundesliga,Germany,51.5544,7.0675,31
2022,伊藤洋輝,Hiroki Ito,DF,2019,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,9
2022,伊藤洋輝,Hiroki Ito,DF,2020,Júbilo Iwata,J2 League,Japan,34.7252,137.8750,37
2022,伊藤洋輝,Hiroki Ito,DF,2021,Júbilo Iwata,J2 League,Japan,34.7252,137.8750,20
2022,伊藤洋輝,Hiroki Ito,DF,2022,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,31
2022,伊藤洋輝,Hiroki Ito,DF,2023,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,37
2022,遠藤航,Wataru Endo,MF,2019,Sint-Truidense V.V.,Belgian Pro League,Belgium,50.8135,5.1663,28
2022,遠藤航,Wataru Endo,MF,2020,VfB Stuttgart,2. Bundesliga,Germany,48.7922,9.2319,22
2022,遠藤航,Wataru Endo,MF,2021,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,36
2022,遠藤航,Wataru Endo,MF,2022,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,34
2022,遠藤航,Wataru Endo,MF,2023,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,40
2022,柴崎岳,Gaku Shibasaki,MF,2019,Getafe CF,La Liga,Spain,40.3256,-3.7147,9
2022,柴崎岳,Gaku Shibasaki,MF,2020,Deportivo de La Coruña,Segunda División,Spain,43.3687,-8.4175,27
2022,柴崎岳,Gaku Shibasaki,MF,2021,CD Leganés,Segunda División,Spain,40.3404,-3.7607,35
2022,柴崎岳,Gaku Shibasaki,MF,2022,CD Leganés,Segunda División,Spain,40.3404,-3.7607,34
2022,柴崎岳,Gaku Shibasaki,MF,2023,CD Leganés,Segunda División,Spain,40.3404,-3.7607,28
2022,守田英正,Hidemasa Morita,MF,2019,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,34
2022,守田英正,Hidemasa Morita,MF,2020,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,38
2022,守田英正,Hidemasa Morita,MF,2021,C.D. Santa Clara,Primeira Liga,Portugal,37.7582,-25.6202,21
2022,守田英正,Hidemasa Morita,MF,2022,C.D. Santa Clara,Primeira Liga,Portugal,37.7582,-25.6202,38
2022,守田英正,Hidemasa Morita,MF,2023,Sporting CP,Primeira Liga,Portugal,38.7611,-9.1608,41
2022,田中碧,Ao Tanaka,MF,2019,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,31
2022,田中碧,Ao Tanaka,MF,2020,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,38
2022,田中碧,Ao Tanaka,MF,2021,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,21
2022,田中碧,Ao Tanaka,MF,2022,Fortuna Düsseldorf,2. Bundesliga,Germany,51.2614,6.7339,30
2022,田中碧,Ao Tanaka,MF,2023,Fortuna Düsseldorf,2. Bundesliga,Germany,51.2614,6.7339,10
2022,鎌田大地,Daichi Kamada,MF,2019,Sint-Truidense V.V.,Belgian Pro League,Belgium,50.8135,5.1663,36
2022,鎌田大地,Daichi Kamada,MF,2020,Eintracht Frankfurt,Bundesliga,Germany,50.0681,8.6458,48
2022,鎌田大地,Daichi Kamada,MF,2021,Eintracht Frankfurt,Bundesliga,Germany,50.0681,8.6458,34
2022,鎌田大地,Daichi Kamada,MF,2022,Eintracht Frankfurt,Bundesliga,Germany,50.0681,8.6458,46
2022,鎌田大地,Daichi Kamada,MF,2023,Eintracht Frankfurt,Bundesliga,Germany,50.0681,8.6458,47
2022,堂安律,Ritsu Dōan,MF,2019,FC Groningen,Eredivisie,Netherlands,53.2061,6.5914,33
2022,堂安律,Ritsu Dōan,MF,2020,PSV Eindhoven,Eredivisie,Netherlands,51.4417,5.4675,25
2022,堂安律,Ritsu Dōan,MF,2021,Arminia Bielefeld,Bundesliga,Germany,52.0319,8.5167,35
2022,堂安律,Ritsu Dōan,MF,2022,PSV Eindhoven,Eredivisie,Netherlands,51.4417,5.4675,39
2022,堂安律,Ritsu Dōan,MF,2023,SC Freiburg,Bundesliga,Germany,48.0216,7.8297,45
2022,南野拓実,Takumi Minamino,MF,2019,FC Red Bull Salzburg,Austrian Bundesliga,Austria,47.8164,12.9983,45
2022,南野拓実,Takumi Minamino,MF,2020,FC Red Bull Salzburg,Austrian Bundesliga,Austria,47.8164,12.9983,22
2022,南野拓実,Takumi Minamino,MF,2020,Liverpool F.C.,Premier League,England,53.4308,-2.9608,14
2022,南野拓実,Takumi Minamino,MF,2021,Liverpool F.C.,Premier League,England,53.4308,-2.9608,17
2022,南野拓実,Takumi Minamino,MF,2021,Southampton F.C.,Premier League,England,50.9058,-1.3911,10
2022,南野拓実,Takumi Minamino,MF,2022,Liverpool F.C.,Premier League,England,53.4308,-2.9608,24
2022,南野拓実,Takumi Minamino,MF,2023,AS Monaco FC,Ligue 1,Monaco,43.7275,7.4156,25
