tournament_year,player_name,player_name_en,position,season,club,league,country,club_lat,club_lng,appearances
2006,宮本恒靖,Tsuneyasu Miyamoto,DF,2005,Gamba Osaka,J1 League,Japan,34.8028,135.5382,36
2006,宮本恒靖,Tsuneyasu Miyamoto,DF,2006,Gamba Osaka,J1 League,Japan,34.8028,135.5382,40
2006,中澤佑二,Yuji Nakazawa,DF,2003,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,38
2006,中澤佑二,Yuji Nakazawa,DF,2004,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,33
2006,中澤佑二,Yuji Nakazawa,DF,2005,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,36
2006,中澤佑二,Yuji Nakazawa,DF,2006,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,28
2006,坪井慶介,Keisuke Tsuboi,DF,2003,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,42
2006,坪井慶介,Keisuke Tsuboi,DF,2004,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,15
2006,坪井慶介,Keisuke Tsuboi,DF,2005,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,40
2006,坪井慶介,Keisuke Tsuboi,DF,2006,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,31
2006,三都主アレサンドロ,Alessandro Santos,DF,2003,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,37
2006,三都主アレサンドロ,Alessandro Santos,DF,2004,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,30
2006,三都主アレサンドロ,Alessandro Santos,DF,2005,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,42
2006,三都主アレサンドロ,Alessandro Santos,DF,2006,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,35
2006,加地亮,Akira Kaji,DF,2003,FC Tokyo,J1 League,Japan,35.6643,139.5271,30
2006,加地亮,Akira Kaji,DF,2004,FC Tokyo,J1 League,Japan,35.6643,139.5271,26
2006,加地亮,Akira Kaji,DF,2005,FC Tokyo,J1 League,Japan,35.6643,139.5271,27
2006,加地亮,Akira Kaji,DF,2006,Gamba Osaka,J1 League,Japan,34.8028,135.5382,39
2006,中田英寿,Hidetoshi Nakata,MF,2003,Parma F.C.,Serie A,Italy,44.7953,10.3381,37
2006,中田英寿,Hidetoshi Nakata,MF,2004,Parma F.C.,Serie A,Italy,44.7953,10.3381,12
2006,中田英寿,Hidetoshi Nakata,MF,2004,Bologna F.C.,Serie A,Italy,44.4923,11.3094,17
2006,中田英寿,Hidetoshi Nakata,MF,2005,ACF Fiorentina,Serie A,Italy,43.7808,11.2483,24
2006,中田英寿,Hidetoshi Nakata,MF,2006,Bolton Wanderers,Premier League,England,53.5809,-2.5355,32
2006,中村俊輔,Shunsuke Nakamura,MF,2003,Reggina,Serie A,Italy,38.1089,15.6472,36
2006,中村俊輔,Shunsuke Nakamura,MF,2004,Reggina,Serie A,Italy,38.1089,15.6472,18
2006,中村俊輔,Shunsuke Nakamura,MF,2005,Reggina,Serie A,Italy,38.1089,15.6472,33
2006,中村俊輔,Shunsuke Nakamura,MF,2006,Celtic F.C.,Scottish Premier League,Scotland,55.8497,-4.2056,38
2006,福西崇史,Takashi Fukunishi,MF,2003,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,34
2006,福西崇史,Takashi Fukunishi,MF,2004,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,31
2006,福西崇史,Takashi Fukunishi,MF,2005,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,26
2006,福西崇史,Takashi Fukunishi,MF,2006,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,30
2006,小笠原満男,Mitsuo Ogasawara,MF,2003,Kashima Antlers,J1 League,Japan,35.9917,140.6405,40
2006,小笠原満男,Mitsuo Ogasawara,MF,2004,Kashima Antlers,J1 League,Japan,35.9917,140.6405,33
2006,小笠原満男,Mitsuo Ogasawara,MF,2005,Kashima Antlers,J1 League,Japan,35.9917,140.6405,32
2006,小笠原満男,Mitsuo Ogasawara,MF,2006,Kashima Antlers,J1 League,Japan,35.9917,140.6405,22
2006,稲本潤一,Junichi Inamoto,MF,2003,Fulham F.C.,Premier League,England,51.4749,-0.2217,33
2006,稲本潤一,Junichi Inamoto,MF,2004,Fulham F.C.,Premier League,England,51.4749,-0.2217,25
2006,稲本潤一,Junichi Inamoto,MF,2005,West Bromwich Albion,Premier League,England,52.5090,-1.9635,3
2006,稲本潤一,Junichi Inamoto,MF,2005,Cardiff City,Championship,England,51.4731,-3.2030,16
2006,稲本潤一,Junichi Inamoto,MF,2006,West Bromwich Albion,Premier League,England,52.5090,-1.9635,26
2006,中田浩二,Kōji Nakata,MF,2003,Kashima Antlers,J1 League,Japan,35.9917,140.6405,23
2006,中田浩二,Kōji Nakata,MF,2004,Kashima Antlers,J1 League,Japan,35.9917,140.6405,26
2006,中田浩二,Kōji Nakata,MF,2005,Olympique de Marseille,Ligue 1,France,43.2698,5.3959,5
2006,中田浩二,Kōji Nakata,MF,2006,Olympique de Marseille,Ligue 1,France,43.2698,5.3959,5
2006,中田浩二,Kōji Nakata,MF,2006,FC Basel,Swiss Super League,Switzerland,47.5415,7.6201,10
2006,遠藤保仁,Yasuhito Endō,MF,2003,Gamba Osaka,J1 League,Japan,34.8028,135.5382,38
2006,遠藤保仁,Yasuhito Endō,MF,2004,Gamba Osaka,J1 League,Japan,34.8028,135.5382,32
2006,遠藤保仁,Yasuhito Endō,MF,2005,Gamba Osaka,J1 League,Japan,34.8028,135.5382,39
2006,遠藤保仁,Yasuhito Endō,MF,2006,Gamba Osaka,J1 League,Japan,34.8028,135.5382,38
2006,小野伸二,Shinji Ono,MF,2004,Feyenoord,Eredivisie,Netherlands,51.8939,4.5232,29
2006,小野伸二,Shinji Ono,MF,2005,Feyenoord,Eredivisie,Netherlands,51.8939,4.5232,34
2006,小野伸二,Shinji Ono,MF,2006,Feyenoord,Eredivisie,Netherlands,51.8939,4.5232,5
2006,小野伸二,Shinji Ono,MF,2006,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,34
2006,高原直泰,Naohiro Takahara,FW,2004,Hamburger SV,Bundesliga,Germany,53.5872,9.8985,37
2006,高原直泰,Naohiro Takahara,FW,2005,Hamburger SV,Bundesliga,Germany,53.5872,9.8985,33
2006,高原直泰,Naohiro Takahara,FW,2006,Hamburger SV,Bundesliga,Germany,53.5872,9.8985,33
2006,柳沢敦,Atsushi Yanagisawa,FW,2003,Kashima Antlers,J1 League,Japan,35.9917,140.6405,8
2006,柳沢敦,Atsushi Yanagisawa,FW,2004,U.C. Sampdoria,Serie A,Italy,44.4163,8.9527,18
2006,柳沢敦,Atsushi Yanagisawa,FW,2005,A.C.R. Messina,Serie A,Italy,38.2018,15.5578,26
2006,柳沢敦,Atsushi Yanagisawa,FW,2006,A.C.R. Messina,Serie A,Italy,38.2018,15.5578,7
2006,柳沢敦,Atsushi Yanagisawa,FW,2006,Kashima Antlers,J1 League,Japan,35.9917,140.6405,28
2006,大黒将志,Masashi Oguro,FW,2003,Gamba Osaka,J1 League,Japan,34.8028,135.5382,33
2006,大黒将志,Masashi Oguro,FW,2004,Gamba Osaka,J1 League,Japan,34.8028,135.5382,39
2006,大黒将志,Masashi Oguro,FW,2005,Gamba Osaka,J1 League,Japan,34.8028,135.5382,37
2006,大黒将志,Masashi Oguro,FW,2006,Grenoble Foot 38,Ligue 2,France,45.1874,5.7401,17
2006,玉田圭司,Keiji Tamada,FW,2003,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,35
2006,玉田圭司,Keiji Tamada,FW,2004,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,31
2006,玉田圭司,Keiji Tamada,FW,2005,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,28
2006,玉田圭司,Keiji Tamada,FW,2006,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,29
2006,巻誠一郎,Seiichirō Maki,FW,2003,JEF United Chiba,J1 League,Japan,35.6365,140.1328,24
2006,巻誠一郎,Seiichirō Maki,FW,2004,JEF United Chiba,J1 League,Japan,35.6365,140.1328,36
2006,巻誠一郎,Seiichirō Maki,FW,2005,JEF United Chiba,J1 League,Japan,35.6365,140.1328,45
2006,巻誠一郎,Seiichirō Maki,FW,2006,JEF United Chiba,J1 League,Japan,35.6365,140.1328,41
